FUNDO
URPR11
HCTR11
HABT11
DEVA11
BARI11
RECR11
KNIP11
KNHY11
VGIP11
TGAR11
IRDM11
CVBI11
BBPO11
BCRI11
KNSC11
VSLH11
TORD11
CPFF11
CPTS11
XPCI11
VRTA11
VCJR11
VGHF11
MGFF11
VINO11
PATL11
GALG11
RZTR11
MCCI11
RBRF11
GTWR11
HFOF11
RBRR11
XPPR11
HGCR11
HGLG11
BCFF11
KISU11
TRXF11
GGRC11
JSRE11
TRXB11
BRCR11
BTLG11
XPLG11
MALL11
HGRU11
VGIR11
VILG11
HGRE11
LVBI11
BRCO11
HSML11
PVBI11
KNRI11
ALZR11
VISC11
HSRE11
XPML11
KNCR11
HGBS11
SNCI11
