"Time","Contracts","Funding Interval","Funding Rate"
"2020-11-04 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-11-04 13:00:00","BTCUSDT Perpetual","8h","-0.0238%"
"2020-11-04 05:00:00","BTCUSDT Perpetual","8h","-0.0027%"
"2020-11-03 21:00:00","BTCUSDT Perpetual","8h","-0.0079%"
"2020-11-03 13:00:00","BTCUSDT Perpetual","8h","-0.0086%"
"2020-11-03 05:00:00","BTCUSDT Perpetual","8h","-0.0005%"
"2020-11-02 21:00:00","BTCUSDT Perpetual","8h","-0.0171%"
"2020-11-02 13:00:00","BTCUSDT Perpetual","8h","0.0087%"
"2020-11-02 05:00:00","BTCUSDT Perpetual","8h","-0.0033%"
"2020-11-01 21:00:00","BTCUSDT Perpetual","8h","0.0078%"
"2020-11-01 13:00:00","BTCUSDT Perpetual","8h","-0.0051%"
"2020-11-01 05:00:00","BTCUSDT Perpetual","8h","-0.0041%"
"2020-10-31 21:00:00","BTCUSDT Perpetual","8h","-0.0064%"
"2020-10-31 13:00:00","BTCUSDT Perpetual","8h","0.0092%"
"2020-10-31 05:00:00","BTCUSDT Perpetual","8h","-0.0169%"
"2020-10-30 21:00:00","BTCUSDT Perpetual","8h","-0.0247%"
"2020-10-30 13:00:00","BTCUSDT Perpetual","8h","-0.0135%"
"2020-10-30 05:00:00","BTCUSDT Perpetual","8h","-0.0010%"
"2020-10-29 21:00:00","BTCUSDT Perpetual","8h","-0.0153%"
"2020-10-29 13:00:00","BTCUSDT Perpetual","8h","-0.0032%"
"2020-10-29 05:00:00","BTCUSDT Perpetual","8h","-0.0081%"
"2020-10-28 21:00:00","BTCUSDT Perpetual","8h","-0.0261%"
"2020-10-28 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-28 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-27 21:00:00","BTCUSDT Perpetual","8h","0.0037%"
"2020-10-27 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-27 05:00:00","BTCUSDT Perpetual","8h","0.0061%"
"2020-10-26 21:00:00","BTCUSDT Perpetual","8h","0.0092%"
"2020-10-26 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-26 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-25 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-25 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-25 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-24 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-24 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-24 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-23 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-23 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-23 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-22 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-22 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-22 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-21 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-21 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-21 05:00:00","BTCUSDT Perpetual","8h","0.0074%"
"2020-10-20 21:00:00","BTCUSDT Perpetual","8h","0.0022%"
"2020-10-20 13:00:00","BTCUSDT Perpetual","8h","0.0037%"
"2020-10-20 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-19 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-19 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-19 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-18 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-18 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-18 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-17 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-17 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-17 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-16 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-16 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-16 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-15 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-15 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-15 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-14 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-14 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-14 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-13 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-13 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-13 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-12 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-12 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-12 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-11 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-11 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-11 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-10 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-10 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-10 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-09 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-09 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-09 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-08 21:00:00","BTCUSDT Perpetual","8h","0.0061%"
"2020-10-08 13:00:00","BTCUSDT Perpetual","8h","0.0088%"
"2020-10-08 05:00:00","BTCUSDT Perpetual","8h","0.0032%"
"2020-10-07 21:00:00","BTCUSDT Perpetual","8h","0.0026%"
"2020-10-07 13:00:00","BTCUSDT Perpetual","8h","0.0015%"
"2020-10-07 05:00:00","BTCUSDT Perpetual","8h","-0.0009%"
"2020-10-06 21:00:00","BTCUSDT Perpetual","8h","0.0005%"
"2020-10-06 13:00:00","BTCUSDT Perpetual","8h","0.0069%"
"2020-10-06 05:00:00","BTCUSDT Perpetual","8h","-0.0084%"
"2020-10-05 21:00:00","BTCUSDT Perpetual","8h","-0.0002%"
"2020-10-05 13:00:00","BTCUSDT Perpetual","8h","-0.0070%"
"2020-10-05 05:00:00","BTCUSDT Perpetual","8h","-0.0092%"
"2020-10-04 21:00:00","BTCUSDT Perpetual","8h","-0.0034%"
"2020-10-04 13:00:00","BTCUSDT Perpetual","8h","-0.0008%"
"2020-10-04 05:00:00","BTCUSDT Perpetual","8h","0.0050%"
"2020-10-03 21:00:00","BTCUSDT Perpetual","8h","-0.0022%"
"2020-10-03 13:00:00","BTCUSDT Perpetual","8h","0.0097%"
"2020-10-03 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-02 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-02 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-02 05:00:00","BTCUSDT Perpetual","8h","-0.0017%"
"2020-10-01 21:00:00","BTCUSDT Perpetual","8h","-0.0003%"
"2020-10-01 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-10-01 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-30 21:00:00","BTCUSDT Perpetual","8h","0.0074%"
"2020-09-30 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-30 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-29 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-29 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-29 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-28 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-28 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-28 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-27 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-27 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-27 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-26 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-26 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-26 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-25 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-25 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-25 05:00:00","BTCUSDT Perpetual","8h","0.0025%"
"2020-09-24 21:00:00","BTCUSDT Perpetual","8h","-0.0233%"
"2020-09-24 13:00:00","BTCUSDT Perpetual","8h","0.0011%"
"2020-09-24 05:00:00","BTCUSDT Perpetual","8h","0.0069%"
"2020-09-23 21:00:00","BTCUSDT Perpetual","8h","0.0038%"
"2020-09-23 13:00:00","BTCUSDT Perpetual","8h","-0.0056%"
"2020-09-23 05:00:00","BTCUSDT Perpetual","8h","-0.0027%"
"2020-09-22 21:00:00","BTCUSDT Perpetual","8h","0.0043%"
"2020-09-22 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-22 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-21 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-21 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-21 05:00:00","BTCUSDT Perpetual","8h","-0.0121%"
"2020-09-20 21:00:00","BTCUSDT Perpetual","8h","-0.0076%"
"2020-09-20 13:00:00","BTCUSDT Perpetual","8h","-0.0067%"
"2020-09-20 05:00:00","BTCUSDT Perpetual","8h","-0.0112%"
"2020-09-19 21:00:00","BTCUSDT Perpetual","8h","-0.0065%"
"2020-09-19 13:00:00","BTCUSDT Perpetual","8h","-0.0058%"
"2020-09-19 05:00:00","BTCUSDT Perpetual","8h","-0.0110%"
"2020-09-18 21:00:00","BTCUSDT Perpetual","8h","-0.0116%"
"2020-09-18 13:00:00","BTCUSDT Perpetual","8h","0.0049%"
"2020-09-18 05:00:00","BTCUSDT Perpetual","8h","0.0055%"
"2020-09-17 21:00:00","BTCUSDT Perpetual","8h","0.0094%"
"2020-09-17 13:00:00","BTCUSDT Perpetual","8h","0.0000%"
"2020-09-17 05:00:00","BTCUSDT Perpetual","8h","0.0029%"
"2020-09-16 21:00:00","BTCUSDT Perpetual","8h","-0.0006%"
"2020-09-16 13:00:00","BTCUSDT Perpetual","8h","-0.0032%"
"2020-09-16 05:00:00","BTCUSDT Perpetual","8h","-0.0015%"
"2020-09-15 21:00:00","BTCUSDT Perpetual","8h","-0.0112%"
"2020-09-15 13:00:00","BTCUSDT Perpetual","8h","-0.0052%"
"2020-09-15 05:00:00","BTCUSDT Perpetual","8h","-0.0028%"
"2020-09-14 21:00:00","BTCUSDT Perpetual","8h","-0.0223%"
"2020-09-14 13:00:00","BTCUSDT Perpetual","8h","0.0008%"
"2020-09-14 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-13 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-13 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-13 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-12 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-12 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-12 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-11 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-11 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-11 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-10 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-10 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-10 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-09 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-09 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-09 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-08 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-08 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-08 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-07 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-07 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-07 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-06 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-06 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-06 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-05 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-05 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-05 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-04 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-04 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-04 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-03 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-09-03 13:00:00","BTCUSDT Perpetual","8h","0.0247%"
"2020-09-03 05:00:00","BTCUSDT Perpetual","8h","0.0168%"
"2020-09-02 21:00:00","BTCUSDT Perpetual","8h","0.0213%"
"2020-09-02 13:00:00","BTCUSDT Perpetual","8h","0.0450%"
"2020-09-02 05:00:00","BTCUSDT Perpetual","8h","0.0350%"
"2020-09-01 21:00:00","BTCUSDT Perpetual","8h","0.0328%"
"2020-09-01 13:00:00","BTCUSDT Perpetual","8h","0.0468%"
"2020-09-01 05:00:00","BTCUSDT Perpetual","8h","0.0229%"
"2020-08-31 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-31 13:00:00","BTCUSDT Perpetual","8h","0.0154%"
"2020-08-31 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-30 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-30 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-30 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-29 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-29 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-29 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-28 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-28 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-28 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-27 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-27 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-27 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-26 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-26 13:00:00","BTCUSDT Perpetual","8h","0.0130%"
"2020-08-26 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-25 21:00:00","BTCUSDT Perpetual","8h","0.0233%"
"2020-08-25 13:00:00","BTCUSDT Perpetual","8h","0.0425%"
"2020-08-25 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-24 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-24 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-24 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-23 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-23 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-23 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-22 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-22 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-22 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-21 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-21 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-21 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-20 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-20 13:00:00","BTCUSDT Perpetual","8h","0.0182%"
"2020-08-20 05:00:00","BTCUSDT Perpetual","8h","0.0115%"
"2020-08-19 21:00:00","BTCUSDT Perpetual","8h","0.0241%"
"2020-08-19 13:00:00","BTCUSDT Perpetual","8h","0.0240%"
"2020-08-19 05:00:00","BTCUSDT Perpetual","8h","0.0549%"
"2020-08-18 21:00:00","BTCUSDT Perpetual","8h","0.0772%"
"2020-08-18 13:00:00","BTCUSDT Perpetual","8h","0.1001%"
"2020-08-18 05:00:00","BTCUSDT Perpetual","8h","0.0782%"
"2020-08-17 21:00:00","BTCUSDT Perpetual","8h","0.1199%"
"2020-08-17 13:00:00","BTCUSDT Perpetual","8h","0.0857%"
"2020-08-17 05:00:00","BTCUSDT Perpetual","8h","0.0398%"
"2020-08-16 21:00:00","BTCUSDT Perpetual","8h","0.0263%"
"2020-08-16 13:00:00","BTCUSDT Perpetual","8h","0.0315%"
"2020-08-16 05:00:00","BTCUSDT Perpetual","8h","0.0487%"
"2020-08-15 21:00:00","BTCUSDT Perpetual","8h","0.0156%"
"2020-08-15 13:00:00","BTCUSDT Perpetual","8h","0.0219%"
"2020-08-15 05:00:00","BTCUSDT Perpetual","8h","0.0366%"
"2020-08-14 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-14 13:00:00","BTCUSDT Perpetual","8h","0.0274%"
"2020-08-14 05:00:00","BTCUSDT Perpetual","8h","0.0440%"
"2020-08-13 21:00:00","BTCUSDT Perpetual","8h","0.0175%"
"2020-08-13 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-13 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-12 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-12 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-12 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-11 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-11 13:00:00","BTCUSDT Perpetual","8h","0.0598%"
"2020-08-11 05:00:00","BTCUSDT Perpetual","8h","0.0227%"
"2020-08-10 21:00:00","BTCUSDT Perpetual","8h","0.0133%"
"2020-08-10 13:00:00","BTCUSDT Perpetual","8h","0.0302%"
"2020-08-10 05:00:00","BTCUSDT Perpetual","8h","0.1318%"
"2020-08-09 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-09 13:00:00","BTCUSDT Perpetual","8h","0.0145%"
"2020-08-09 05:00:00","BTCUSDT Perpetual","8h","0.0210%"
"2020-08-08 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-08 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-08 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-07 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-08-07 13:00:00","BTCUSDT Perpetual","8h","0.0239%"
"2020-08-07 05:00:00","BTCUSDT Perpetual","8h","0.0212%"
"2020-08-06 21:00:00","BTCUSDT Perpetual","8h","0.0317%"
"2020-08-06 13:00:00","BTCUSDT Perpetual","8h","0.0360%"
"2020-08-06 05:00:00","BTCUSDT Perpetual","8h","0.0386%"
"2020-08-05 21:00:00","BTCUSDT Perpetual","8h","0.0388%"
"2020-08-05 13:00:00","BTCUSDT Perpetual","8h","0.0220%"
"2020-08-05 05:00:00","BTCUSDT Perpetual","8h","0.0166%"
"2020-08-04 21:00:00","BTCUSDT Perpetual","8h","0.0138%"
"2020-08-04 13:00:00","BTCUSDT Perpetual","8h","0.0386%"
"2020-08-04 05:00:00","BTCUSDT Perpetual","8h","0.0306%"
"2020-08-03 21:00:00","BTCUSDT Perpetual","8h","0.0311%"
"2020-08-03 13:00:00","BTCUSDT Perpetual","8h","0.0437%"
"2020-08-03 05:00:00","BTCUSDT Perpetual","8h","0.0459%"
"2020-08-02 21:00:00","BTCUSDT Perpetual","8h","0.0258%"
"2020-08-02 13:00:00","BTCUSDT Perpetual","8h","0.0247%"
"2020-08-02 05:00:00","BTCUSDT Perpetual","8h","0.0424%"
"2020-08-01 21:00:00","BTCUSDT Perpetual","8h","0.0955%"
"2020-08-01 13:00:00","BTCUSDT Perpetual","8h","0.0489%"
"2020-08-01 05:00:00","BTCUSDT Perpetual","8h","0.0307%"
"2020-07-31 21:00:00","BTCUSDT Perpetual","8h","0.0279%"
"2020-07-31 13:00:00","BTCUSDT Perpetual","8h","0.0377%"
"2020-07-31 05:00:00","BTCUSDT Perpetual","8h","0.0393%"
"2020-07-30 21:00:00","BTCUSDT Perpetual","8h","0.0826%"
"2020-07-30 13:00:00","BTCUSDT Perpetual","8h","0.0691%"
"2020-07-30 05:00:00","BTCUSDT Perpetual","8h","0.0723%"
"2020-07-29 21:00:00","BTCUSDT Perpetual","8h","0.0617%"
"2020-07-29 13:00:00","BTCUSDT Perpetual","8h","0.0618%"
"2020-07-29 05:00:00","BTCUSDT Perpetual","8h","0.0682%"
"2020-07-28 21:00:00","BTCUSDT Perpetual","8h","0.0836%"
"2020-07-28 13:00:00","BTCUSDT Perpetual","8h","0.0975%"
"2020-07-28 05:00:00","BTCUSDT Perpetual","8h","0.1220%"
"2020-07-27 21:00:00","BTCUSDT Perpetual","8h","0.1394%"
"2020-07-27 13:00:00","BTCUSDT Perpetual","8h","0.0518%"
"2020-07-27 05:00:00","BTCUSDT Perpetual","8h","0.0869%"
"2020-07-26 21:00:00","BTCUSDT Perpetual","8h","0.0471%"
"2020-07-26 13:00:00","BTCUSDT Perpetual","8h","0.0654%"
"2020-07-26 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-25 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-25 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-25 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-24 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-24 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-24 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-23 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-23 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-23 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-22 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-22 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-22 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-21 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-21 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-21 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-20 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-20 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-20 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-19 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-19 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-19 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-18 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-18 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-18 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-17 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-17 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-17 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-16 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-16 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-16 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-15 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-15 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-15 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-14 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-14 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-14 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-13 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-13 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-13 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-12 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-12 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-12 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-11 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-11 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-11 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-10 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-10 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-10 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-09 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-09 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-09 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-08 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-08 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-08 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-07 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-07 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-07 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-06 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-06 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-06 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-05 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-05 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-05 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-04 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-04 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-04 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-03 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-03 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-03 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2020-07-02 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
